"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_s",1,11,3.63989722327217,0.118329562794995,"[2.77, 4.52]",2.76612005731147,4.51500746034633,0.374190932964103,0.0252249421107381
"2","facebook_s",2,4,1.23640357786096,0.0562299957893701,"[0.88, 1.59]",0.878980493376587,1.59477626276058,0.097393209616573,0.00919779988502164
"3","facebook_s",3,7,1.16480680263513,0.0372273559985433,"[0.92, 1.41]",0.922992119456318,1.40500598628557,0.0911880266693696,0.00671100929462613
"4","facebook_s",4,3,1.80781400222776,0.316333499454264,"[0, 4.18]",0,4.1826555533599,0.447363125161163,0.0512866848856791
"5","facebook_s",6,17,1.80572136136196,0.0976526949565969,"[0.95, 2.66]",0.94930117181537,2.6563861865691,0.390610779826388,0.0251344098424899
"6","ooh_s",1,11,0.388340314516423,0.00486901066982108,"[0.35, 0.42]",0.352349098112825,0.424312107394329,0.0153971636682967,0.00103795289513229
"7","ooh_s",2,4,0.471295534161854,0.00747469627502831,"[0.42, 0.52]",0.423317348027269,0.518468626201596,0.0129465537194949,0.00122267056175067
"8","ooh_s",3,7,0.449829292768315,0.00746610041404845,"[0.4, 0.5]",0.401095773975095,0.497765651117371,0.0182881363828009,0.00134592070614018
"9","ooh_s",4,3,0.500133019950476,0.0131121726188705,"[0.4, 0.6]",0.402305522325624,0.597740177238722,0.0185434123497838,0.00234870181426935
"10","ooh_s",6,17,0.428992225675295,0.00448131401561765,"[0.39, 0.47]",0.3896713302245,0.468010018223503,0.0179252560624706,0.00115342626387823
"11","print_s",1,11,1.79801469933342,0.0143957091559396,"[1.69, 1.9]",1.69138034026783,1.90414605836817,0.0455232294661092,0.00306880986901575
"12","print_s",2,4,1.61611141538079,0.0133917510064001,"[1.53, 1.7]",1.53014572605212,1.70061984009851,0.0231951931453966,0.00219055050845639
"13","print_s",3,7,1.99107562092416,0.0203191908550071,"[1.86, 2.12]",1.86002467192152,2.12311431372274,0.0497716495809936,0.00366295899962841
"14","print_s",4,3,1.85225690224398,0.0249874307477919,"[1.67, 2.04]",1.66503955661181,2.03747287085385,0.0353375634523857,0.00447584283986676
"15","print_s",6,17,1.80792328327908,0.00895682442607878,"[1.73, 1.89]",1.72912072507854,1.88569664716994,0.0358272977043151,0.00230535876262655
"16","search_s",1,11,0.373012401252993,0.0305457928338113,"[0.15, 0.6]",0.146869698579613,0.598330441279364,0.0965942782904928,0.0065116090836438
"17","search_s",2,4,0.737059335062926,0.0156927252742647,"[0.64, 0.84]",0.637379084589563,0.837144106865226,0.0271805974842466,0.00256693148731471
"18","search_s",3,7,0.488880784572086,0.0438714084287782,"[0.2, 0.77]",0.202546760788813,0.770586758601929,0.107462564947744,0.00790873866372327
"19","search_s",4,3,0.992178397228157,0.126074613386308,"[0.05, 1.93]",0.0499001674389138,1.92902037708253,0.178296428121861,0.0225829602614883
"20","search_s",6,17,0.436612998159058,0.0341106048302682,"[0.14, 0.73]",0.137438542215665,0.733732401548661,0.136442419321073,0.00877958280782972
"21","tv_s",1,11,1.44778232471932,0.103399034515563,"[0.69, 2.21]",0.686781605144389,2.21499876980617,0.326976456931544,0.0220421220053017
"22","tv_s",2,4,0.666457122679765,0.0466533370663812,"[0.37, 0.96]",0.368867825900394,0.962754786604635,0.0808059501416086,0.00763130162613595
"23","tv_s",3,7,0.891359556348242,0.0820885934916101,"[0.36, 1.43]",0.362407105436967,1.4252771189027,0.201075167757197,0.0147981853432336
"24","tv_s",4,3,1.00425516537852,0.161031166951976,"[0, 2.21]",0,2.21196339880732,0.22773246026825,0.0269437203974123
"25","tv_s",6,17,0.88129849758702,0.0427766243059881,"[0.51, 1.26]",0.507722299543821,1.25550846527082,0.171106497223952,0.0110100925270193
